collection_key,collection_name,arabic_edition,english_edition,arabic_count,english_count,merged_count,arabic_author,english_author
abudawud,Sunan Abu Dawud,ara-abudawud,eng-abudawud,5274,5274,5274,Unknown,Unknown
bukhari,Sahih al Bukhari,ara-bukhari,eng-bukhari,7589,7589,7589,Unknown,Muhsin Khan
dehlawi,Forty Hadith of Shah Waliullah Dehlawi,ara-dehlawi,eng-dehlawi,40,40,40,Shah Waliullah Dehlawi,Shah Waliullah Dehlawi
ibnmajah,Sunan Ibn Majah,ara-ibnmajah,eng-ibnmajah,4343,4343,4343,Unknown,Unknown
malik,Muwatta Malik,ara-malik,eng-malik,1858,1858,1858,Unknown,Unknown
muslim,Sahih Muslim,ara-muslim,eng-muslim,7563,7563,7563,Unknown,Abdul Hamid Siddiqui
nasai,Sunan an Nasai,ara-nasai,eng-nasai,5765,5765,5765,Unknown,Unknown
nawawi,Forty Hadith of an-Nawawi,ara-nawawi,eng-nawawi,42,42,42,Imam Nawawi,Imam Nawawi
qudsi,Forty Hadith Qudsi,ara-qudsi,eng-qudsi,40,40,40,Unknown,Unknown
tirmidhi,Jami At Tirmidhi,ara-tirmidhi,eng-tirmidhi,3998,3998,3998,Unknown,Unknown
